day,value
2014/12/01,1.0401
2014/12/02,1.0485
2014/12/03,1.007
2014/12/04,0.9739
2014/12/05,1.0156
2014/12/06,0.9996
2014/12/07,1.0024
2014/12/08,0.9331
2014/12/09,0.8791
2014/12/10,0.8589
2014/12/11,0.8583
2014/12/12,0.881
2014/12/13,0.8608
2014/12/14,0.8738
2014/12/15,0.8463
2014/12/16,0.7695
2014/12/17,0.7252
2014/12/18,0.6852
2014/12/19,0.7207
2014/12/20,0.7733
2014/12/21,0.7308
2014/12/22,0.7797
2014/12/23,0.7997
2014/12/24,0.7449
2014/12/25,0.727
2014/12/26,0.7719
2014/12/27,0.7118
2014/12/28,0.7211
2014/12/29,0.7039
2014/12/30,0.6928
2014/12/31,0.726
2015/01/01,0.7109
2015/01/02,0.7133
2015/01/03,0.5931
2015/01/04,0.4925
2015/01/05,0.5406
2015/01/06,0.5903
2015/01/07,0.6351
2015/01/08,0.5876
2015/01/09,0.6095
2015/01/10,0.5484
2015/01/11,0.52
2015/01/12,0.5252
2015/01/13,0.3584
2015/01/14,0.2174
2015/01/15,0.3261
2015/01/16,0.3125
2015/01/17,0.2945
2015/01/18,0.3242
2015/01/19,0.3426
2015/01/20,0.3308
2015/01/21,0.3757
2015/01/22,0.4039
2015/01/23,0.4078
2015/01/24,0.4636
2015/01/25,0.4863
2015/01/26,0.5562
2015/01/27,0.5088
2015/01/28,0.5087
2015/01/29,0.4103
2015/01/30,0.3976
2015/01/31,0.3625
2015/02/01,0.3913
2015/02/02,0.4413
2015/02/03,0.3923
2015/02/04,0.3908
2015/02/05,0.3632
2015/02/06,0.3831
2015/02/07,0.4004
2015/02/08,0.3864
2015/02/09,0.3776
2015/02/10,0.3804
2015/02/11,0.376
2015/02/12,0.3871
2015/02/13,0.4369
2015/02/14,0.5285
2015/02/15,0.4284
2015/02/16,0.4401
2015/02/17,0.4657
2015/02/18,0.437
2015/02/19,0.4592
2015/02/20,0.4746
2015/02/21,0.4757
2015/02/22,0.4437
2015/02/23,0.4543
2015/02/24,0.4575
2015/02/25,0.4532
2015/02/26,0.4495
2015/02/27,0.5203
2015/02/28,0.5198
2015/03/01,0.5375
2015/03/02,0.5901
2015/03/03,0.6378
2015/03/04,0.6041
2015/03/05,0.6123
2015/03/06,0.6013
2015/03/07,0.6159
2015/03/08,0.6117
2015/03/09,0.6793
2015/03/10,0.6842
2015/03/11,0.7111
2015/03/12,0.7015
2015/03/13,0.6738
2015/03/14,0.6438
2015/03/15,0.6614
2015/03/16,0.6842
2015/03/17,0.6575
2015/03/18,0.5318
2015/03/19,0.5505
2015/03/20,0.5546
2015/03/21,0.5488
2015/03/22,0.5847
2015/03/23,0.5773
2015/03/24,0.4907
2015/03/25,0.4955
